"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","REF_AREA","INDICATOR","FINANCIAL_SECTOR","UNIT_MEASURE","TIME_PERIOD","OBS_VALUE","AGG_METHOD","UNIT_TYPE","DECIMALS","DATABASE_ID","TIME_FORMAT","UNIT_MULT","OBS_STATUS","OBS_CONF","DERIVATION_TYPE","FREQ_LABEL","REF_AREA_LABEL","INDICATOR_LABEL","FINANCIAL_SECTOR_LABEL","UNIT_MEASURE_LABEL","AGG_METHOD_LABEL","UNIT_TYPE_LABEL","DECIMALS_LABEL","DATABASE_ID_LABEL","TIME_FORMAT_LABEL","UNIT_MULT_LABEL","OBS_STATUS_LABEL","OBS_CONF_LABEL","DERIVATION_TYPE_LABEL"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2009","69.05144242659612","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2010","66.75015339476143","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2011","65.10169605423388","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2012","65.71085996274038","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2013","69.54985090657481","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2014","61.91258676132606","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2015","64.2186348872042","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2016","66.02091613106047","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2017","69.46613294740138","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2018","70.72621318290478","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2019","72.13345853082961","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2020","68.72151197911009","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2021","65.92380452782315","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2022","70.13943683170554","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2023","75.32245300030181","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2024","75.0364939006204","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","A","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2025","72.93468938859701","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Annual","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2009-Q1","72.76351681756421","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2009-Q2","66.97727935297729","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2009-Q3","68.34234459150747","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2009-Q4","69.05144242659612","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2010-Q1","65.79635131645355","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2010-Q2","66.96680311765109","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2010-Q3","70.37348836015651","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2010-Q4","66.75015339476143","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2011-Q1","79.60212170862714","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2011-Q2","64.30115656022025","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2011-Q3","63.28310434667519","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2011-Q4","65.10169605423388","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2012-Q1","57.27454800192989","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2012-Q2","59.94226109229968","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2012-Q3","63.37254726415328","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2012-Q4","65.71085996274038","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2013-Q1","72.68818231066775","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2013-Q2","69.97274804462554","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2013-Q3","70.54702578673918","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2013-Q4","69.54985090657481","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2014-Q1","72.03836639952285","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2014-Q2","67.9808336765937","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2014-Q3","68.0689918031349","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2014-Q4","61.91258676132606","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2015-Q1","64.89078020248656","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2015-Q2","63.36100417881531","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2015-Q3","62.83847210111974","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2015-Q4","64.2186348872042","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2016-Q1","62.74121001735614","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2016-Q2","64.93652318601574","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2016-Q3","64.23645403174147","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2016-Q4","66.02091613106047","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2017-Q1","69.20210908500346","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2017-Q2","68.99682319205599","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2017-Q3","69.41051147088321","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2017-Q4","69.46613294740138","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2018-Q1","66.94590411193114","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2018-Q2","69.25943839721535","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2018-Q3","69.96690049778578","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2018-Q4","70.72621318290478","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
"datastructure","WB.DEC.DG:DS_IMF_FSIC(1.0.0)","I","Q","MUS","IMF_FSIC_FSI99_CFSI","S12CFSI","PT","2019-Q1","72.69346828424285","_Z","RATIO","2","IMF_FSIC","602","0","A","PU","SC","Quarterly","Mauritius","Interest margin to gross income, (Core FSI)","Deposit takers","Percentage","Not Applicable","Ratio","Two","Financial Soundness Indicators (FSI), Core and Additional Indicators","CCYY","Units","Normal value","Public","IMF Staff calculations (derived value)"
